ID|Tweet|Subtask_A
|user abi destek ltfen ya askya alnyo hesabm|OTHER
|user user zmze dndke kazanp yukseliyoruz bu millet her daim inancndan g alarak ykselmitir onun iin nce inanlarmza saldrdlar|OTHER
|user ok sevindim komutanm allahin izniyle milletin meclisine millet akl ile gideceksiniz|OTHER
|user ok gzel eleman ya sevdii projede ok az paraca oynuyormu|OTHER
|user offff ok sonsuzzzz bir kr oldu buu|OTHER
|user lise ve niversite genlii olan bitenin farknda deil etrafmdaki genlerin hemen hepsi yanl dnyor konforun ortasnda doup bydler kulaa ho gelen 'devrim zgrlk deiim ' gibi kelimelerin ardna dmler erdoan'n gerek devrimci olduunu bilmeden!|OTHER
|user kullanmadn netin cretini sizden tahsil edemez salayc firmanza forum doldurup fax ekin uyarn 14 i gn iinde zm salayp dn yapmyorlarsa btk ya ikayet edin sonu alamassan tuketici mahkemesine dava an vazgemeyin hakknz sonuna kadar arayn|OTHER
|user bey deyi grevimiz birbirmze kenetlenmek derlerya birlikte g doar heval|OTHER
|user birgl hoca geldi gzmn nne|OTHER
|formay ben yaptm falan diyo akljsgakljalskgasjklgas|OTHER
|user akpnin gidebilmesi icin iyi parti chp gibi muhalefeti olmayi bilmeyen bir partiyi yanina almasiyla iktidar olma sansini kaybetti ! onumuzdeki 5 yilda cizecegi muhalif tavirla kendisini dogru bir sekilde tanitirsa 7 ayda 10 almis iyi parti 2023 de iktidarin en buyuk adayi olur|OTHER
|user user hmm herhangi bir moomoo blackpink in d grnlerine danslarna seslerine laf etmedi|OTHER
|erkenden evlenen koca merakllar hari herkese gnaydn|OTHER
|user irklk yaptm abi terriste terrist diyip bir de irkin bunlar diyince ey oldu )|OTHER
|user sizin yiithan'n trabzondaki mata uurcan'a yapt hareketi hatrlyor musun onun yaptna laf ettiysen tebrik ederim seni|OTHER
|user user user yok hi sanmam seni konuurken grdlerse demek az sussan sorun hallolur bence )|OTHER
|bu saatlerde canm ok pis balkon havas ekiyor byle oturup mzik dinlemektik ama yemek vaktidir oluk ocuk bekler|OTHER
|user yksel bey size daha nce bir soru sormutum bu konular iyi bildiiniz iin msaitseniz tekrar sorabilir miyim|OTHER
|zengin ile yoksul arasndaki uurum gittike byyor herkes dnceye dman nsan semiyor artk her teklifi kabule raz yeter ki bu teklif ona insanln unutturabilsin|OTHER
|halay ba olmann verdii mutluluu vermeyen eyler var hayatta|OTHER
|user kardeim ben ne yapaym 5 s kullanan biri olarak|OTHER
|akam dar karken haber vereyim mi diye kendi kendine teklif edip sonra beni unutan adam rakya gitmi dnerken haber vereyim mi dedi olur dedim uyuycam birazdan yemezler aslan|OTHER
|user sen camlar sil sana ekilli ukullu eyler yaparm|OTHER
|bakan albayrak alma meclisi toplants'nda emrah serbes'e sormanehaldeyim nihat zdemir fatihmaolu glgelerin nevinyldrm merih demiral 35usdsgiventt sayn avc lkengelsizkitap vme|OTHER
|kalitesiz renlere fahi fiyatlar sunmaktan vazgein artk bir dnya para verip aldmz rnler 2 3 ykamada perian oluyor! tasarmlar zaten berbat dnyann en gzel iki rengine sahip olup bunu kullanamamak tam anlamyla komedi gsstoretaraftarakulakver|OTHER
|'helikopter kazas' duyunca aklma ilk muhsin yazcolu gelir ona ve ehit den askerlerimize allah'tan rahmet yaknlarna trk silahl kuvvetleri'ne ve milletimize basal dilerim|OTHER
|user user peki o saray niye sp ye dp ye ve vatan partisne izin verdi onuda syle o zaman onlarn 20 vekilimi vae|OTHER
|ben telefonla konumaya tahamml edemezken insanlar grntl konuuyor|OTHER
|gnaydn bu hafta piyasalar asndan perembe gn tcmb faiz karar aklanacak sizce karar ne ynde olacaktr|OTHER
|user user user sayn vekilim user bey siz olay gercekten ok yanl anlamsnz user bunu 23 nisan iin sylemiti esasnda|OTHER
|kendime szmdr bir daha yzme kapanan hibir kapnn arasna elimi koymayacam|OTHER
|kzlar cidden bazlarnz ok gzel seviliyor ama kymetini bilmiyorsunuz|OTHER
|user ok kt inallah kimseye biey olmamtr|OTHER
|haketmediin anlamna gelmez ben etmiyorsam o kfr|OTHER
|ayrlmaya calsrm bunu yapamam kars tarafa|OTHER
|insan kafasn taa vurduunda ve keke dedii zaman anlyor zamann oktan getiini|OTHER
|user user user ikisini ayran ey nedir erkekler eleri olmayan kadnlarla konuamaz erkekler eleri olmayan kadnlarla konumak zorundadr kisi arasnda fark yokken sizin dnya grlerinize uyana bravo uymayana t kaka m diyorsunuz|OTHER
|user ne demek efendim senin szn dinlemek benim iim|OTHER
|user user ona sanki baya bi zaman var kardeim be olacak da ok erken daha|OTHER
|kpss 225 tl olmu snava girip atanamayacam kesin olduundan o parayla ierim ben|OTHER
|user user bidaha yle bi halt yersen pastan benden|OTHER
|anlarm stanbul trafii gibi ar ar akyor gzmn nnden|OTHER
|okul alnca buralarda olur muyum acaba r dmsms|OTHER
|user hala niye bana kstn sylemedin|OTHER
|fizik btn yaam enerjimi smrdn|OTHER
|dertliyim diye iiyon mutlu oluyon gene iiyon yani sadece bana m anlamsz geliyor|OTHER
|user user o ok sevindim yakaladma bu gzelligi o zaman yozgat bu arada|OTHER
|user afedersin alevi nk biz cem e bile orapla gidiyoruz ghghgg|OTHER
|chp'de bir istifa daha chp'de 31 mart yerel seimleri iin aday belirleme noktalanrken aday olamayanlar ise bir bir istifa ediyor hangi partiden olursa olsun ve zellikle chp'de aday gsterilmedii iin partiden istifa edenlerden chp'ye hi bir zaman hayr gelmez|OTHER
|2 ay nce yaptm eye bakp nasl ykk bir malmm diyorum 2 ayda ok ey deimemitir byk ihtimal hala yleyim|OTHER
|sa kolum ok acyo kesin sana sarlamad iinnn|OTHER
|user yok kz yanl cevap kopya verim erdoanlarn iki duda|OTHER
|kalbimin pek ok yeri yamal |OTHER
|aslnda herkes hakl ben de bazen beni anlamakta zorluk ekebiliyorum|OTHER
|uyku bastna gre iyi geceler dostlar arv|OTHER
|dolar 6 33  grd yine birileri vurgunu yapt ekti paray ve imdi 6 seviyelerinde amk 2 gn daha beklesen ne olurdu|OTHER
|user takmaaa rahat ol tuzak kuranlarn en hayrls allahtr devlet akl baka alr temmuz ay bitmeden kandil ! yakanlar grr|OTHER
|user derbiden sonra da galatasaray' ampiyonluktan ettik demiti ne oldu sonu|OTHER
|user bu sefer almanyaya gidecek gibiyim 1 yrocudan kararan bilekliklerden alrm 3 yroya|OTHER
|user user ka delege oy kullanacak yazk bu ehre|OTHER
|dayak atmak istiyorum u an|OTHER
|user user mamn konuma zgrl yok yanl veya doru fikrini beyan edenlerin banda neler geldiini hepimiz biliyoruz davul bizim srtmzda tokmak bakasnn elinde|OTHER
|user kendim yaptm annem kek yapmyo ekeri kar diye|OTHER
|retmen ziya seluk olarak bizi anlayacanz ve madur etmeyeceinizi biliyoruz tercihdeil lleemri user user user user user user|OTHER
|user user evet hanmeli ) beyazl sarmtrakl iekleri olurhafif rzgarda gzel kokar evde ve dkkanmda vardr ))|OTHER
|sadece iki takipim varken ak acs ekeyim bari|OTHER
|user tatil nasl gidiyor kum deniz nargile kz gece kulb gne|OTHER
|dn gel birtanem dn gel nedir ki sana engel|OTHER
|yerleikler 170 milyar dolarn yzde 5 ini satsalar dolar tl 3 70 e der yksek iken satmyorlar sonra da uzuluyorl|OTHER
|user bence bi erkek bunlar yaparak degilde beyefendiligiyle drstlugyle sefkatiyle karizmadr|OTHER
|kalr bi sokakta bi genel telefonda bi soru yantnda bi komu suratnda kalr bi pazarda bi kahve kokusunda|OTHER
|user user zelimizi niye araf gibi tayma seriyorsun ayp ama ya dbakxbakxbsksj|OTHER
|zel eitime verilen uzman retici kurslar durdurulmaldr! zeleitime kurslarahayr user user user|OTHER
|user stanbuldaki taksicilerin byk ounluu zelig (woody allen karakteri) gibi arabasna akpli binerse akp yanda anti akpli binerse kahrolsun akp ciddiye almak bile zaman kayb|OTHER
|zaman sizi harcamadan siz zaman harcayn mucizelerle dolu ansmzn ak olduu bi gne merhaba  perembe|OTHER
|user ormanlar ve hayvanlar koruyan insanlar btn insanln iyiliini de istiyo ormanlara hayvanlara ve insanlara kyanlar kendilerinen baka kimsenin iyiliini istemiyo|OTHER
|"bazen baz eyler zamanla geer bazen sadece ""zaman"" geer"|OTHER
|nden yklemeli faiz indirme mi|OTHER
|user 125 tl den okul ak 3 bilet alnr|OTHER
|u son gnlerde yle eyler yaadm ki artk insanlara bu hangi kar ama iin yazyor acaba diye dnmeye baladm ne lanet bi duyguymu kimseyeye gvenememek bymek bu olsa gerek|OTHER
|nedir grip byle gemedi ya lejyoner gribi mi bu|OTHER
|bugn tatilin son gn brakn beni tm gn uyucam|OTHER
|seni bakasyla grmek benim iin kolay m sanyorsun [how i met your mother]|OTHER
|zincire vurduum kfrlerin kilidiyle oynuyorsun yapma !|OTHER
|user gnaydn altemur aynen insan kalabilenlere|OTHER
|ankarada yaamak ne kadar kt ya uyurken oyun havas uyanyoruz oyun havas yeter galn|OTHER
|senin gsnde uyumak dnyann en gzel ikinci eyi birincisi zaten sensin|OTHER
|daha iyisini yapmak iin halk daha iyi anlamak doru stratejiler gelitirmek seim zaman malup bile olsan ortaya kacak cesaret ve zgven gerek teknoloji mutlaka sonuna kadar kullanlmal ilk yaplmas gereken seim gvenliinin salanmas bunu yapnca gerisi gelecektir|OTHER
|kendime en byk iyilii vazgeerek yaptm vazgemek ok gzel|OTHER
|user user biraz sonra sana kfr edicek sen engellicen|OTHER
|heceleme beni artk allahm brak okunaksz kalaym kaderimin hepsi pek iyi olmasn varsn bak mrm eriyor ite ocukluk fotorafmdaki kardan adam gibi yan bamda didem madak|OTHER
|user bir cmle var ama anlamadm be kral|OTHER
|bugn o kadar nemli maclar varken hatta nba tarihinin en heycanli maclarinin olacagi gn cedi osmani izleyen tayfa nba izlemeyi brakn gidin mehter mar dinleyin bee valla bak d|OTHER
|user sabah ayilinca msj at fazla icmeseydin tatlim kesje|OTHER
|user ben de bir sresiz nafaka maduruyum boandm eimin evi var babasndan yetim maa var eyiz piko ileri yapyor ve bunlar elden pazarlyor byk olum yannda o da destek veriyor ama esk e llede senden nafaka alacam diye diretiyor avukat hanm ne yaplabilir acaba|OTHER
|bir sonraki ark sana gelsin annem user picemiyeti user|OTHER
|kendini muhafaza etmi hanmlarla evlenmek isteyen beyler gryorum instagramda orda burda bakalaryla yazmakta beis grmeyen|OTHER
|hilal'in 1915 iin alma yrtt dnemler vard hatrlayanlarnz vardr imdi 1915'i 'komplo' olarak sunuyor|OTHER
|nsan skntsn gideren ey sanat olsa gerek|OTHER
|ok gzel bir rya grdm peki neden alyorsun gerek olmasn isterdim|OTHER
|ey diyorum hep bu gerekten benim hayatm m ! ben byle bir eyi nasl yaadm ok baka bir yere gitmeyi hayal ederken ben buraya nasl geldim ! veya ben unu istemitim ama olmad bu nasl mmkn olabilir ! vs vs|OTHER
|seren s ve cengiz s neden var allah akna|OTHER
|parmagimin ciktigini hissediyorum cekiyorum cikiyo sonra itiyorum oturuyo|OTHER
|user benim gibi gnde 15 dkkn ayrsan yeterli )|OTHER
|"bakn sevgili arkadalarm time'ma jin focuslar dryorsunuz ben burda yanyorum yapmayn etmeyin felsefe alacam ben daha """|OTHER
|user ok ge kaldn ama yinede doru karar|OTHER
|hatrla ne olur unuttuysan biz ne yokular grdk|OTHER
|"bir yerde okumutum ""bana odann  kapalym gibi hissettirme ne olur"" diyordu ne nahif istek"|OTHER
|user sizliin en byk sorun olduu u dnemde genlere nem verip szn tutan kazanan olacak tarimbakanlii26aydratamabekliyor sznz tutun!! user user user 5bingdamhendisi tarmaatamayok sizok|OTHER
|buz gibi bira olcak imdi bi devircen|OTHER
|user merhaba size yardmc olabilmemiz iin zel mesaj ile iletiim ve kargo bilgilerinizi iletir misiniz|OTHER
|user bu yaam cok ksacok krk dkuk hicbir ey bilmiyoruzkendimiz hakknda bile|OTHER
|"user ahhh hep sylemek istediklerimiz bunlar tarihi ile vnmeyi bilemiyor ""yeni chp"" yaratmak istemeleri onlar bu hale getirdi"|OTHER
|bugn b baktm yks ye 50 gn kalm dedim allah'm zntden ders almak braklr m kendine gel yoksa yks sana gelecek|OTHER
